compressor_id, rel_bound             , cr                     , psnr              , ssim_pressio         , contrast          , xshift                 , yshift                 , fwhm_x            , fwhm_y            , ssim_full         , dssim_full             , ssim_roi          , dssim_roi
sz           , 1e-08                 ,     20.88544222759435  , 171.1454210423778 , 0.9996922201012542   , 61.961914300449706, 1.4877747242987973e-07 , -1.3568639113589178e-07, 5.92162114958977  , 4.933480828521893 , 1.0000000000003417, -1.6881259573813673e-13, 1.0000000003137086, -1.3709068602540952e-10
sz           , 1.3257113655901082e-08,     21.401793682302745 , 169.8559837922379 , 0.9997486186845055   , 61.96156222200457 , -3.1004163985670496e-07, -3.541080845984888e-08 , 5.921618979685778 , 4.933483752134841 , 1.0               , 0.0                    , 1.000000000234456 , -9.387731564336477e-11
sz           , 1.757510624854793e-08 ,     22.63982352174753  , 169.24554998985428, 0.9999402577439598   , 61.9617323358035  , 2.3537872407002685e-07 , 2.334113835058835e-07  , 5.921617054879729 , 4.933481882310676 , 0.9999999999998932, 5.2753933627068886e-14 , 1.0000000002905933, -1.1175870645585562e-10
sz           , 2.329951810515372e-08 ,     22.596532919762794 , 164.71874265323135, 0.9990000506179789   , 61.96178247236607 , 3.886361934765879e-08  , -1.9973820802876577e-08, 5.9216160681589445, 4.933481680142645 , 1.0000000000003844, -1.8991416512320614e-13, 1.000000000036324 , 2.533197436538348e-11
sz           , 3.0888435964774783e-08,     23.16973812777952  , 162.6639711632204 , 0.998684132968604    , 61.96164790914673 , -1.3484886388606068e-07, 7.677371796948497e-07  , 5.92162168617152  , 4.933480544178683 , 1.0000000000006406, -3.165236085386769e-13 , 0.9999999992008685, 4.366040307068886e-10
sz           , 4.0949150623804276e-08,     24.15885067027557  , 160.379244765852  , 0.9983430809343065   , 61.96179400516358 , 4.85720967240608e-07   , -1.2439190287042798e-06, 5.921635215335566 , 4.933484358976261 , 0.9999999999998932, 5.2753933627068886e-14 , 0.9999999983307397, 8.739530765744519e-10
sz           , 5.4286754393238595e-08,     24.852304906602985 , 156.8739544191447 , 0.9935846027809022   , 61.961569992092876, 2.374903044766518e-06  , -1.3739252134100357e-06, 5.921618068752134 , 4.9334861041243006, 0.99999999999622  , 1.867489236168085e-12  , 0.9999999964864631, 1.8402933621430861e-09
sz           , 7.196856730011513e-08 ,     25.904479573578378 , 155.27564459956037, 0.9939055173573049   , 61.96171194537529 , 1.935257294220569e-06  , 1.3850030332522267e-06 , 5.921626491304037 , 4.93347798600554  , 0.9999999999934011, 3.2812947237809142e-12 , 0.9999999935739259, 3.33637006910692e-09
sz           , 9.540954763499944e-08 ,     27.84914306313204  , 154.59453818364307, 0.9989455469003689   , 61.961959694281354, -1.5125568313283332e-06, 1.8876425978226034e-06 , 5.921622792384445 , 4.933483035774107 , 0.9999999999908811, 4.547388941095187e-12  , 0.9999999885578895, 5.897879518101945e-09
sz           , 1.2648552168552957e-07,     28.802018427583604 , 149.1191068076134 , 0.963502871912603    , 61.9601808344284  , 2.0020909971344226e-06 , -3.3948888559425285e-06, 5.921644170880489 , 4.9334904488229245, 0.9999999999767863, 1.1489806502062994e-11 , 0.9999999803833024, 1.0209530998395167e-08
sz           , 1.67683293681101e-07  ,     31.294275425737265 , 148.73524603333118, 0.9844486002134625   , 61.9635934890176  , 1.6064500245949201e-06 , -9.897882205741927e-07 , 5.921569690562373 , 4.93345981076439  , 0.9999999999651048, 1.7324391921036408e-11 , 0.9999999610043628, 2.0009279566579607e-08
sz           , 2.2229964825261955e-07,     33.486478675931004 , 146.45425654653303, 0.9847884280336161   , 61.95928391285747 , -5.4592447739566024e-06, -4.07529208792113e-06  , 5.921629494150163 , 4.9334755585202315, 0.9999999999343954, 3.253862804197816e-11  , 0.9999999271056659, 3.7082283910194747e-08
sz           , 2.94705170255181e-07  ,     37.29507369309677  , 142.3955546081853 , 0.9054030246333057   , 61.96038863295883 , -9.935548842362939e-06 , 1.1498738334294222e-06 , 5.921603292073178 , 4.933520963562645 , 0.9999999998915345, 5.3777361036511095e-11 , 0.9999998695714982, 6.661787921302675e-08
sz           , 3.906939937054621e-07 ,     67.6500283843097   , 138.55589132733596, 0.414139406665655    , 61.989039672506266, -2.6606247409551626e-06, 1.8912517872620317e-05 , 5.921507295379071 , 4.933373027269306 , 0.9999999996939517, 1.5175197209948976e-10 , 0.9999997008705404, 1.5397370134451194e-07
sz           , 5.179474679231213e-07 ,     78.08378697468332  , 137.43108916047223, 0.3858194206472727   , 61.97612979875747 , -8.755545981817552e-07 , -1.3448240335264826e-05, 5.92160908999229  , 4.9334134234789495, 0.9999999996147435, 1.9104309800788144e-10 , 0.9999995411763231, 2.325355978882726e-07
sz           , 6.866488450042998e-07 ,     90.56717552232487  , 135.70832529732755, 0.3842109780780631   , 61.93313575596663 , -1.2972120803743476e-05, -4.792007504676086e-06 , 5.921848421117199 , 4.933505739420082 , 0.9999999993075207, 3.432804041025861e-10  , 0.9999992138147354, 3.9848907817940926e-07
sz           , 9.102981779915227e-07 ,    138.85093192926684  , 134.24155896257298, 0.2853909402720684   , 61.94591141209011 , -8.405201073498263e-06 , 7.477251441323533e-06  , 5.921698974577794 , 4.933507894514485 , 0.9999999988256084, 5.821502169212067e-10  , 0.9999985640894343, 7.213949970719113e-07
sz           , 1.2067926406393288e-06,    195.5951679478926   , 132.8592615437197 , 0.249657580695464    , 61.93360008044857 , -6.28852194890021e-06  , 6.568007384607196e-06  , 5.92170193204806  , 4.93340033307452  , 0.999999998048881 , 9.675599210723362e-10  , 0.9999975106012788, 1.2450747135517304e-06
sz           , 1.5998587196060574e-06,    262.79159930565385  , 131.65467842518524, 0.1620494016511757   , 61.913360553350344, -3.8598478287837414e-05, 3.143085139152507e-06  , 5.921599041317074 , 4.933287979137494 , 0.9999999970361946, 1.4698934291956789e-09 , 0.9999959588645237, 2.0032405245729024e-06
sz           , 2.1209508879201924e-06,    354.6871074916474   , 130.52531831785382, 0.14767426572785258  , 61.88310776281101 , 4.2141962775622744e-05 , -2.0115609407079832e-05, 5.922121363571354 , 4.9332538146215965, 0.9999999957715752, 2.0971588909901584e-09 , 0.9999936743968081, 3.1262836728274124e-06
sz           , 2.811768697974231e-06 ,    497.2047194853246   , 129.54333534263708, 0.25269700741478723  , 61.8841590950675  , -5.0823192737595094e-05, -7.774885660626104e-05 , 5.921381133255065 , 4.933437071166643 , 0.9999999942263422, 2.8622701986336097e-09 , 0.9999901473241499, 4.844953309657285e-06
